.feature,sample,expression
Mars2,GSM2545341,374
Mars2,GSM2545346,315
Mars2,GSM2545347,281
Ndufb3,GSM2545337,1324
Ndufb3,GSM2545338,1312
Ndufb3,GSM2545348,1423
Ndufb3,GSM2545353,1728
Ndufb3,GSM2545343,1678
Ndufb3,GSM2545349,1466
Ndufb3,GSM2545354,1535
Ndufb3,GSM2545336,1535
Ndufb3,GSM2545342,1068
Ndufb3,GSM2545351,1463
Ndufb3,GSM2545380,1737
Ndufb3,GSM2545341,1137
Ndufb3,GSM2545346,1191
Ndufb3,GSM2545347,1479
Gm33774,GSM2545337,0
Gm33774,GSM2545338,0
Gm33774,GSM2545348,4
Gm33774,GSM2545353,2
Gm33774,GSM2545343,1
Gm33774,GSM2545349,1
Gm33774,GSM2545354,2
Gm33774,GSM2545336,2
Gm33774,GSM2545342,1
Gm33774,GSM2545351,1
Gm33774,GSM2545380,1
Gm33774,GSM2545341,1
Gm33774,GSM2545346,4
Gm33774,GSM2545347,0
Wdr12,GSM2545337,1022
Wdr12,GSM2545338,989
Wdr12,GSM2545348,1055
Wdr12,GSM2545353,1236
Wdr12,GSM2545343,1238
Wdr12,GSM2545349,1000
Wdr12,GSM2545354,1094
Wdr12,GSM2545336,1306
Wdr12,GSM2545342,888
Wdr12,GSM2545351,1003
Wdr12,GSM2545380,1304
Wdr12,GSM2545341,995
Wdr12,GSM2545346,1017
Wdr12,GSM2545347,1042
Nbeal1,GSM2545337,2230
Nbeal1,GSM2545338,2030
Nbeal1,GSM2545348,1553
Nbeal1,GSM2545353,1356
Nbeal1,GSM2545343,1956
Nbeal1,GSM2545349,1472
Nbeal1,GSM2545354,1532
Nbeal1,GSM2545336,1177
Nbeal1,GSM2545342,1629
Nbeal1,GSM2545351,1353
Nbeal1,GSM2545380,1213
Nbeal1,GSM2545341,1910
Nbeal1,GSM2545346,1517
Nbeal1,GSM2545347,1230
Abi2,GSM2545337,4383
Abi2,GSM2545338,4107
Abi2,GSM2545348,5240
Abi2,GSM2545353,5287
Abi2,GSM2545343,5329
Abi2,GSM2545349,5106
Abi2,GSM2545354,4712
Abi2,GSM2545336,5627
Abi2,GSM2545342,4508
Abi2,GSM2545351,5436
Abi2,GSM2545380,5697
Abi2,GSM2545341,4206
Abi2,GSM2545346,4513
Abi2,GSM2545347,4630
LOC105243936,GSM2545337,1
LOC105243936,GSM2545338,0
LOC105243936,GSM2545348,0
LOC105243936,GSM2545353,0
LOC105243936,GSM2545343,1
LOC105243936,GSM2545349,1
LOC105243936,GSM2545354,0
LOC105243936,GSM2545336,0
LOC105243936,GSM2545342,0
LOC105243936,GSM2545351,1
LOC105243936,GSM2545380,1
LOC105243936,GSM2545341,1
LOC105243936,GSM2545346,0
LOC105243936,GSM2545347,0
Gm35880,GSM2545337,1
Gm35880,GSM2545338,0
Gm35880,GSM2545348,0
Gm35880,GSM2545353,1
Gm35880,GSM2545343,0
Gm35880,GSM2545349,0
Gm35880,GSM2545354,1
Gm35880,GSM2545336,0
Gm35880,GSM2545342,0
Gm35880,GSM2545351,0
Gm35880,GSM2545380,1
Gm35880,GSM2545341,1
Gm35880,GSM2545346,0
Gm35880,GSM2545347,0
Gm29152,GSM2545337,0
Gm29152,GSM2545338,0
Gm29152,GSM2545348,0
Gm29152,GSM2545353,0
Gm29152,GSM2545343,0
Gm29152,GSM2545349,1
Gm29152,GSM2545354,0
Gm29152,GSM2545336,1
Gm29152,GSM2545342,0
Gm29152,GSM2545351,0
Gm29152,GSM2545380,1
Gm29152,GSM2545341,0
Gm29152,GSM2545346,1
Gm29152,GSM2545347,0
LOC105243947,GSM2545337,2
LOC105243947,GSM2545338,0
LOC105243947,GSM2545348,0
LOC105243947,GSM2545353,0
LOC105243947,GSM2545343,0
LOC105243947,GSM2545349,1
LOC105243947,GSM2545354,0
LOC105243947,GSM2545336,2
LOC105243947,GSM2545342,0
LOC105243947,GSM2545351,0
LOC105243947,GSM2545380,0
LOC105243947,GSM2545341,1
LOC105243947,GSM2545346,1
LOC105243947,GSM2545347,0
LOC105243948,GSM2545337,77
LOC105243948,GSM2545338,81
LOC105243948,GSM2545348,99
LOC105243948,GSM2545353,86
LOC105243948,GSM2545343,85
LOC105243948,GSM2545349,110
LOC105243948,GSM2545354,71
LOC105243948,GSM2545336,161
LOC105243948,GSM2545342,150
LOC105243948,GSM2545351,165
LOC105243948,GSM2545380,194
LOC105243948,GSM2545341,181
LOC105243948,GSM2545346,163
LOC105243948,GSM2545347,137
LOC105243954,GSM2545337,10
LOC105243954,GSM2545338,6
LOC105243954,GSM2545348,10
LOC105243954,GSM2545353,8
LOC105243954,GSM2545343,6
LOC105243954,GSM2545349,0
LOC105243954,GSM2545354,7
LOC105243954,GSM2545336,8
LOC105243954,GSM2545342,5
LOC105243954,GSM2545351,5
LOC105243954,GSM2545380,7
LOC105243954,GSM2545341,9
LOC105243954,GSM2545346,5
LOC105243954,GSM2545347,2
Rpl37a,GSM2545337,2410
Rpl37a,GSM2545338,2200
Rpl37a,GSM2545348,2763
Rpl37a,GSM2545353,3140
Rpl37a,GSM2545343,3044
Rpl37a,GSM2545349,2590
Rpl37a,GSM2545354,2615
Rpl37a,GSM2545336,3845
Rpl37a,GSM2545342,2440
Rpl37a,GSM2545351,3108
Rpl37a,GSM2545380,4134
Rpl37a,GSM2545341,2434
Rpl37a,GSM2545346,2795
Rpl37a,GSM2545347,3139
Gm30788,GSM2545337,0
Gm30788,GSM2545338,0
Gm30788,GSM2545348,0
Gm30788,GSM2545353,0
Gm30788,GSM2545343,0
Gm30788,GSM2545349,1
Gm30788,GSM2545354,0
Gm30788,GSM2545336,0
Gm30788,GSM2545342,0
Gm30788,GSM2545351,0
Gm30788,GSM2545380,0
Gm30788,GSM2545341,0
Gm30788,GSM2545346,0
Gm30788,GSM2545347,0
LOC102633705,GSM2545337,0
LOC102633705,GSM2545338,1
LOC102633705,GSM2545348,2
LOC102633705,GSM2545353,2
LOC102633705,GSM2545343,0
LOC102633705,GSM2545349,0
LOC102633705,GSM2545354,1
LOC102633705,GSM2545336,0
LOC102633705,GSM2545342,0
LOC102633705,GSM2545351,1
LOC102633705,GSM2545380,2
LOC102633705,GSM2545341,0
LOC102633705,GSM2545346,1
LOC102633705,GSM2545347,0
Cxcr2,GSM2545337,3
Cxcr2,GSM2545338,4
Cxcr2,GSM2545348,3
Cxcr2,GSM2545353,5
Cxcr2,GSM2545343,4
Cxcr2,GSM2545349,4
Cxcr2,GSM2545354,0
Cxcr2,GSM2545336,3
Cxcr2,GSM2545342,3
Cxcr2,GSM2545351,10
Cxcr2,GSM2545380,6
Cxcr2,GSM2545341,4
Cxcr2,GSM2545346,9
Cxcr2,GSM2545347,1
Ctdsp1,GSM2545337,1633
Ctdsp1,GSM2545338,1440
Ctdsp1,GSM2545348,1988
Ctdsp1,GSM2545353,2161
Ctdsp1,GSM2545343,2121
Ctdsp1,GSM2545349,2148
Ctdsp1,GSM2545354,1887
Ctdsp1,GSM2545336,2401
Ctdsp1,GSM2545342,1718
Ctdsp1,GSM2545351,2209
Ctdsp1,GSM2545380,2553
Ctdsp1,GSM2545341,1754
Ctdsp1,GSM2545346,2049
Ctdsp1,GSM2545347,2479
Vil1,GSM2545337,24
Vil1,GSM2545338,16
Vil1,GSM2545348,19
Vil1,GSM2545353,17
Vil1,GSM2545343,21
Vil1,GSM2545349,28
Vil1,GSM2545354,21
Vil1,GSM2545336,44
Vil1,GSM2545342,27
Vil1,GSM2545351,34
Vil1,GSM2545380,39
Vil1,GSM2545341,38
Vil1,GSM2545346,32
Vil1,GSM2545347,48
Plcd4,GSM2545337,868
Plcd4,GSM2545338,794
